date,gold,br,ind,tw,kor,uk,us,jp,kor10y,kor3y,us10y,us3y,euro
2022-08-05,0.6234294,0.007886568,-0.2969188,0.13778058,-0.41628847,0.5025455,-0.61867976,-1.0578438,0.45410454,0.3505808,0.3989769,0.3720349,-1.0585
2022-08-08,0.32528925,-0.018791584,-0.30645415,0.13040659,-0.5199375,0.5024762,-0.6110724,-1.0177352,0.453854,0.35099834,0.3938447,0.36527532,0.9075
2022-08-09,0.54215854,-0.027378814,-0.304309055,0.11812078,-0.726049,0.5194471,-0.61217004,-1.0132459,0.44894898,0.34649467,0.38996896,0.36108512,2.8309
2022-08-10,1.2741876,-0.037817877,-0.30216396,0.11392676,-1.6336373,0.5406793,-0.6015875,-1.0086299,0.4483429,0.3463168,0.3912793,0.3618754,0.5639
2022-08-11,1.4606614,-0.026767792,-0.30769113,0.10560298,-2.1979854,0.4845423,-0.6058519,-1.0226454,0.4437184,0.34250498,0.39079508,0.3627041,1.2901
2022-08-12,0.7211556,-0.025607878,-0.3116957,0.112468116,-1.56622,0.52877223,-0.6075325,-1.0366609,0.4400238,0.34449285,0.3883516,0.36475703,0.4045
2022-08-15,0.9901071,-0.043320607,-0.32146561500000004,0.09678099,-1.4141745499999998,0.5667464,-0.6015506,-1.0620536,0.43722585,0.34285366500000003,0.38763192,0.3652862,2.2143
2022-08-16,0.58121425,-0.054248307,-0.33123553,0.08993015,-1.2621291,0.6489094,-0.60080385,-1.0482421,0.4344279,0.34121448,0.3902131,0.3674736,1.2492
2022-08-17,0.25178498,-0.0574796,-0.32843894,0.08634489,0.36921704,0.66678965,-0.5955852,-1.0323434,0.44115338,0.3501554,0.39200705,0.36790246,-0.7029
2022-08-18,0.37831885,-0.06921763,-0.32793045,0.08372738,0.14653072,0.68417054,-0.5994877,-1.0221953,0.43960977,0.35047126,0.38959587,0.3653492,-1.4179
2022-08-19,0.37897718,-0.034958597,-0.32815656,0.08749874,0.49999475,0.6904534,-0.5869261,-1.0485055,0.43852356,0.3479939,0.38862693,0.36601388,-1.7992
2022-08-22,-0.0047243387,-0.041099034,-0.33270615,0.08475534,0.22857353,0.68277335,-0.5832877,-1.0046047,0.43165442,0.33906728,0.386037,0.36764073,-0.9981
2022-08-23,0.62447536,-0.05412225,-0.3233229,0.10478119,0.22749025,0.7177939,-0.5854588,-1.0059799,0.42895162,0.33759683,0.38273546,0.3644937,0.0858
2022-08-24,-0.11732607,-0.062925644,-0.31804636,0.12589964,0.43999833,0.76021427,-0.58406603,-0.997694,0.42786673,0.3350876,0.3813947,0.3636024,-0.295
2022-08-25,0.005953826,-0.07339218,-0.30423003,0.14624238,0.71430725,0.8126139,-0.5838821,-1.0470221,0.42386678,0.33416337,0.3804074,0.36275932,0.6532
2022-08-26,-0.15622783,-0.07187953,-0.28783086,0.16516176,0.8685634,0.8123024,-0.5866165,-1.0184859,0.41137278,0.31843293,0.38218865,0.36228657,-1.6674
2022-08-29,-0.19694537,-0.088060044,-0.27670395,0.14696535,1.1249703,0.7651269700000001,-0.5903547,-0.99894726,0.40980637,0.31808215,0.38547003,0.36316094,0.8083
2022-08-30,-0.2508254,-0.07880228,-0.2492635,0.15593688,1.4761622,0.71795154,-0.5957035,-0.9960803,0.40585998,0.30952853,0.38464925,0.36185706,-1.0989
2022-08-31,-0.4373966,-0.07341227,-0.210311335,0.1660823,1.4406574,0.6707026,-0.6009413,-1.0054903,0.40905493,0.31264454,0.38437033,0.36011416,-1.4135
2022-09-01,-0.25521326,-0.07006047,-0.17135917,0.1829524,1.1261102,0.6626996,-0.59999263,-0.9495361,0.4103868,0.3126318,0.38398397,0.3594116,0.5337
2022-09-02,-0.16387007,-0.058070462,-0.16312774,0.17460178,0.904887,0.7180572,-0.59041053,-0.96302164,0.41042665,0.31191927,0.37973726,0.35520732,1.1061
2022-09-05,0.09695312,-0.091269515,-0.1661427,0.17604896,1.0221397,0.759458,-0.591444165,-0.9539691,0.41703486,0.32220387,0.37977402000000005,0.35481724000000003,1.167
2022-09-06,-0.40542322,-0.07257124,-0.16674422,0.18465228,0.86304337,0.7516584,-0.5924778,-0.98852205,0.42593116,0.3300522,0.37981078,0.35442716,1.6671
